state,electric,hybrid,alternativeFuels,combustion,unknown,total,rel_electric,rel_hybrid,rel_alternativeFuels,rel_combustion,rel_unknown
Alabama,13000,69100,495600,4229200,29000,4835900,0.002688228,0.014288964,0.102483509,0.874542484,0.005996815
Alaska,2700,11500,56400,484100,5100,559800,0.004823151,0.020543051,0.100750268,0.864773133,0.009110397
Arizona,89800,201300,507000,5666700,64200,6529000,0.013754021,0.030831674,0.077653546,0.867927707,0.009833053
Arkansas,7100,40200,313900,2336800,10300,2708300,0.002621571,0.01484326,0.115902965,0.862829081,0.003803124
California,1256600,2113900,1544700,31927200,7900,36850300,0.034100129,0.057364526,0.041918248,0.866402716,0.000214381
Colorado,90100,190200,402800,4712200,46500,5441800,0.016557022,0.03495167,0.074019626,0.865926715,0.008544967
Connecticut,31600,93700,144600,2654900,20900,2945700,0.010727501,0.031809078,0.049088502,0.901279832,0.007095088
Delaware,8400,26700,69000,805500,5100,914700,0.009183339,0.029189898,0.075434569,0.880616596,0.005575599
District of Columbia,8100,21800,17300,264300,600,312100,0.02595322,0.069849407,0.055430952,0.84684396,0.001922461
Florida,254900,471800,1272100,16488300,96100,18583200,0.01371669,0.025388523,0.068454303,0.887269146,0.005171338
Georgia,92400,198000,812400,8462700,76900,9642400,0.009582677,0.020534307,0.084252883,0.877654941,0.007975193
Hawaii,25600,43700,40700,966400,3700,1080100,0.023701509,0.040459217,0.037681696,0.894731969,0.003425609
Idaho,8500,48300,179000,1707200,31600,1974600,0.004304669,0.02446065,0.090651271,0.864580168,0.016003241
Illinois,99600,318800,834700,8730500,59600,10043200,0.009917158,0.031742871,0.083110961,0.869294647,0.005934364
Indiana,26100,132000,632900,5322600,58500,6172100,0.004228707,0.021386562,0.102542085,0.862364511,0.009478135
Iowa,9000,63300,373100,2650400,57500,3153300,0.002854153,0.020074208,0.11832049,0.840516285,0.018234865
Kansas,11300,56000,281700,2256000,16100,2621100,0.004311167,0.021365076,0.107473961,0.860707337,0.006142459
Kentucky,11600,72700,398400,3532600,24400,4039700,0.0028715,0.017996386,0.098621185,0.874470877,0.006040052
Louisiana,8200,44200,444400,3258300,19100,3774200,0.002172646,0.011711091,0.117746807,0.863308781,0.005060675
Maine,7400,41200,116500,1063000,7900,1236000,0.005987055,0.033333333,0.094255663,0.860032362,0.006391586
Maryland,72100,200000,341700,4414700,31500,5060000,0.014249012,0.039525692,0.067529644,0.872470356,0.006225296
Massachusetts,73800,231100,306500,4849700,30000,5491100,0.01343993,0.042086285,0.055817596,0.883192803,0.005463386
Michigan,50300,177200,944400,7304100,49400,8525400,0.005900016,0.020784949,0.110774861,0.856745725,0.00579445
Minnesota,37100,140600,569200,4347100,24500,5118500,0.007248217,0.027468985,0.111204454,0.849291785,0.004786559
Mississippi,3600,30200,330200,2350800,8500,2723300,0.001321926,0.011089487,0.121249954,0.86321742,0.003121213
Missouri,26900,127800,646900,4786800,37600,5626000,0.004781372,0.022715962,0.114984003,0.850835407,0.006683256
Montana,4600,23600,132400,850300,10800,1021700,0.0045023,0.023098757,0.129587942,0.832240384,0.010570618
Nebraska,6900,36400,226100,1676500,25300,1971200,0.003500406,0.018465909,0.114701705,0.850497159,0.012834821
Nevada,47400,80200,153100,2255100,20300,2556100,0.018543875,0.031375924,0.059895935,0.882242479,0.007941786
New Hampshire,9900,43400,103600,1214500,12300,1383700,0.00715473,0.03136518,0.074871721,0.877719159,0.00888921
New Jersey,134800,215100,420200,6517600,36400,7324100,0.018404992,0.029368796,0.057372237,0.889884081,0.004969894
New Mexico,10300,49200,183900,1686100,22900,1952400,0.005275558,0.025199754,0.094191764,0.86360377,0.011729154
New York,131300,406300,645900,10056000,79100,11318600,0.011600375,0.035896666,0.057065361,0.888449101,0.006988497
North Carolina,70200,234300,735600,7973700,71700,9085500,0.007726597,0.025788344,0.080964174,0.877629189,0.007891696
North Dakota,1000,9000,110300,669900,7200,797400,0.001254076,0.011286682,0.138324555,0.840105342,0.009029345
Ohio,50400,223800,904600,9077600,60900,10317300,0.004884999,0.021691722,0.087677978,0.879842594,0.005902707
Oklahoma,22800,89400,417500,3713200,45000,4287900,0.005317288,0.020849367,0.097367009,0.865971688,0.010494648
Oregon,64400,185700,240300,3291300,51000,3832700,0.016802776,0.048451483,0.062697315,0.858741879,0.013306546
Pennsylvania,70200,284300,736200,9078500,41800,10211000,0.006874939,0.027842523,0.072098717,0.889090197,0.004093625
Rhode Island,6400,27200,45000,793000,6000,877600,0.007292616,0.030993619,0.051276208,0.903600729,0.006836828
South Carolina,20900,92100,449400,4435100,44900,5042400,0.004144852,0.018265112,0.089124227,0.87956132,0.00890449
South Dakota,1700,13200,120300,769500,13300,918000,0.001851852,0.014379085,0.131045752,0.838235294,0.014488017
Tennessee,33200,124300,562400,5781200,37700,6538800,0.005077384,0.019009604,0.086009665,0.884137762,0.005765584
Texas,230100,500400,2778700,22165600,121800,25796600,0.00891978,0.019397905,0.107715745,0.859245017,0.004721552
Utah,40000,96200,256400,2657600,26000,3076200,0.013003056,0.031272349,0.083349587,0.863923022,0.008451986
Vermont,7800,26000,43600,510700,5000,593100,0.013151239,0.043837464,0.073512055,0.86106896,0.008430282
Virginia,84900,256200,529400,6822800,30200,7723500,0.010992426,0.03317149,0.068544054,0.883381886,0.003910144
Washington,152100,348400,411700,5857200,46700,6816100,0.022314813,0.051114274,0.060401109,0.859318379,0.006851425
West Virginia,2800,24200,140800,1327900,15200,1510900,0.0018532,0.016016944,0.09318949,0.878880138,0.010060229
Wisconsin,24900,136100,589400,4752200,26400,5529000,0.004503527,0.024615663,0.106601555,0.859504431,0.004774824
Wyoming,1100,9200,78900,550000,13700,652900,0.001684791,0.014090979,0.120845459,0.842395466,0.020983305
United States,3555900,8699500,23091800,250055200,1694100,287096500,0.012385731,0.030301658,0.080432189,0.870979618,0.005900803
